sip_uuid,created_year,year_source,am_status,size_bytes,current_path
0c80a9fa-5082-4ca9-92a6-4aed79090902,2019,pointer,UPLOADED,21243578,0c80/a9fa/5082/4ca9/92a6/4aed/7909/0902/test_b2-0c80a9fa-5082-4ca9-92a6-4aed79090902.7z
4760a2fb-956b-40f9-9e4d-f930808f8dbd,2019,pointer,UPLOADED,7080,4760/a2fb/956b/40f9/9e4d/f930/808f/8dbd/ab0ed225-3a5f-4c49-9a8e-d104a9b0845f_B063.01.0009.00020_transfer-4760a2fb-956b-40f9-9e4d-f930808f8dbd.7z
cf881dd4-00b8-4a30-9fdb-a1dacc903b1e,2019,pointer,UPLOADED,27561902,cf88/1dd4/00b8/4a30/9fdb/a1da/cc90/3b1e/5ffa1495-2c0e-4a67-99eb-fe82585d434b_U300.06.0008.01284_transfer-cf881dd4-00b8-4a30-9fdb-a1dacc903b1e.7z
0a03b514-06c9-4b40-a69b-be0e62b025fa,2019,pointer,UPLOADED,16471195,0a03/b514/06c9/4b40/a69b/be0e/62b0/25fa/5ffa1495-2c0e-4a67-99eb-fe82585d434b_U300.01.0053.00061_transfer-0a03b514-06c9-4b40-a69b-be0e62b025fa.7z
95f98609-f412-4e2f-8b76-bbaa42d4a05d,2019,pointer,UPLOADED,26100370,95f9/8609/f412/4e2f/8b76/bbaa/42d4/a05d/5ffa1495-2c0e-4a67-99eb-fe82585d434b_U300.01.0054.00020_transfer-95f98609-f412-4e2f-8b76-bbaa42d4a05d.7z
ffff4eb6-fd67-4170-b478-0ceefa90bcc3,2019,pointer,UPLOADED,35669277,ffff/4eb6/fd67/4170/b478/0cee/fa90/bcc3/7b4d1e4c-1fe7-4c0f-9275-eb45d2b4b62d_U171.06.01.00001_transfer-ffff4eb6-fd67-4170-b478-0ceefa90bcc3.7z
b59d2193-ce81-4453-adc2-621d2f3e193b,2019,pointer,UPLOADED,8281001,b59d/2193/ce81/4453/adc2/621d/2f3e/193b/1e1fce45-dd23-48bd-a8cf-5654a83d989b_U116.01.0001.01473_transfer-b59d2193-ce81-4453-adc2-621d2f3e193b.7z
0a3c9583-c5f8-40f8-ac13-05e3e05d926d,2019,pointer,UPLOADED,7276523,0a3c/9583/c5f8/40f8/ac13/05e3/e05d/926d/1e1fce45-dd23-48bd-a8cf-5654a83d989b_U116.01.0001.00077_transfer-0a3c9583-c5f8-40f8-ac13-05e3e05d926d.7z
76e3f55d-b2e5-4348-b492-4cf42b0f1142,2019,pointer,UPLOADED,14320505,76e3/f55d/b2e5/4348/b492/4cf4/2b0f/1142/1e1fce45-dd23-48bd-a8cf-5654a83d989b_U116.01.0001.02712_transfer-76e3f55d-b2e5-4348-b492-4cf42b0f1142.7z
1ebf435e-2ae4-4ff4-a84b-e4d7efca0087,2019,pointer,UPLOADED,59212231,1ebf/435e/2ae4/4ff4/a84b/e4d7/efca/0087/1e1fce45-dd23-48bd-a8cf-5654a83d989b_U116.01.0001.00880_transfer-1ebf435e-2ae4-4ff4-a84b-e4d7efca0087.7z
2448655d-10a2-4589-8727-a588228a51e5,2019,pointer,UPLOADED,14319432,2448/655d/10a2/4589/8727/a588/228a/51e5/1e1fce45-dd23-48bd-a8cf-5654a83d989b_U116.01.0001.02712_transfer-2448655d-10a2-4589-8727-a588228a51e5.7z
87bfe324-5c0c-4b53-ad6d-daf74b8b1983,2019,pointer,UPLOADED,3922975,87bf/e324/5c0c/4b53/ad6d/daf7/4b8b/1983/1e1fce45-dd23-48bd-a8cf-5654a83d989b_U116.01.0001.03006_transfer-87bfe324-5c0c-4b53-ad6d-daf74b8b1983.7z
b7a6f426-1bd0-49a6-9ca0-1d48331f75b2,2019,pointer,UPLOADED,37576293,b7a6/f426/1bd0/49a6/9ca0/1d48/331f/75b2/58b416aa-2646-469c-8077-b0fd4a3e4049_U138.0004.0014.00003_transfer-b7a6f426-1bd0-49a6-9ca0-1d48331f75b2.7z
