sip_uuid,bucket,am_status,package_type,size_bytes,current_location,current_path,title
fa700229-140e-451f-92eb-d9c767eab1fb,B,UPLOADED,AIP,347768214,/api/v2/location/11a1c5ca-cb7e-448e-9ece-57f671e94057/,fa70/0229/140e/451f/92eb/d9c7/67ea/b1fb/5e5cc067-dc7c-422f-aa4c-ffe08d25ae62_D009.02.0006.0008.00001.00003_transfer-fa700229-140e-451f-92eb-d9c767eab1fb.7z,"Noel Hefty Highlight Reel, 2014"
df02b4c0-66bf-4757-b161-d715a343d863,B,UPLOADED,AIP,356538194,/api/v2/location/11a1c5ca-cb7e-448e-9ece-57f671e94057/,df02/b4c0/66bf/4757/b161/d715/a343/d863/5e5cc067-dc7c-422f-aa4c-ffe08d25ae62_D009.02.0006.0008.00001.00004_transfer-df02b4c0-66bf-4757-b161-d715a343d863.7z,"Howard Sayette Highlight Reel, 2014"
d5222eaa-e903-4306-a633-79a1e1777d49,B,UPLOADED,AIP,329507702,/api/v2/location/11a1c5ca-cb7e-448e-9ece-57f671e94057/,d522/2eaa/e903/4306/a633/79a1/e177/7d49/5e5cc067-dc7c-422f-aa4c-ffe08d25ae62_D009.02.0006.0008.00001.00002_transfer-d5222eaa-e903-4306-a633-79a1e1777d49.7z,Rita Flores de Wallace Highlight Reel
75e0f205-ca6d-4db4-9af9-a79f3f6a42df,B,UPLOADED,AIP,320570020,/api/v2/location/11a1c5ca-cb7e-448e-9ece-57f671e94057/,75e0/f205/ca6d/4db4/9af9/a79f/3f6a/42df/5e5cc067-dc7c-422f-aa4c-ffe08d25ae62_D009.02.0006.0009.00001.00004_transfer-75e0f205-ca6d-4db4-9af9-a79f3f6a42df.7z,"Nancy Smith Highlight Reel, 2015"
5b86f510-3300-4147-ad14-17116fcdb2d6,B,UPLOADED,AIP,2978085977,/api/v2/location/11a1c5ca-cb7e-448e-9ece-57f671e94057/,5b86/f510/3300/4147/ad14/1711/6fcd/b2d6/b68a0bbf-0cf8-4b4c-95e2-307306c1cbe1_D115.0001.00001_transfer-5b86f510-3300-4147-ad14-17116fcdb2d6.7z,"Denishawn Asian Tour Annotated Photo Album, 1925-1926"
7b8c7c9d-4457-46a3-9546-833c9d8b39a5,B,UPLOADED,AIP,1121917790,/api/v2/location/11a1c5ca-cb7e-448e-9ece-57f671e94057/,7b8c/7c9d/4457/46a3/9546/833c/9d8b/39a5/b68a0bbf-0cf8-4b4c-95e2-307306c1cbe1_D115.0001.00001_transfer-7b8c7c9d-4457-46a3-9546-833c9d8b39a5.7z,"Denishawn Asian Tour Annotated Photo Album, 1925-1926"
cd6d8865-f1fb-4016-ae3a-f41810e5affa,B,UPLOADED,AIP,213767545,/api/v2/location/11a1c5ca-cb7e-448e-9ece-57f671e94057/,cd6d/8865/f1fb/4016/ae3a/f418/10e5/affa/a5efb5d1-0484-429c-95a5-15c12ff40ca0_B002.01.0097.0001_transfer-cd6d8865-f1fb-4016-ae3a-f41810e5affa.7z,"JCRS Patient #1 Ernest Leffler, 1905"
d8bbf8a3-1adc-40c8-ada6-c939fa975db3,B,UPLOADED,AIP,277050377,/api/v2/location/11a1c5ca-cb7e-448e-9ece-57f671e94057/,d8bb/f8a3/1adc/40c8/ada6/c939/fa97/5db3/a5efb5d1-0484-429c-95a5-15c12ff40ca0_B002.01.0097.0003_transfer-d8bbf8a3-1adc-40c8-ada6-c939fa975db3.7z,"JCRS Patient #3 Sam Rothchild, "
5f43d401-a7e4-455e-8dc7-64ec5ddaf499,B,UPLOADED,AIP,473423090,/api/v2/location/11a1c5ca-cb7e-448e-9ece-57f671e94057/,5f43/d401/a7e4/455e/8dc7/64ec/5dda/f499/a5efb5d1-0484-429c-95a5-15c12ff40ca0_B002.01.0097.0002_transfer-5f43d401-a7e4-455e-8dc7-64ec5ddaf499.7z,"JCRS Patient #2 Max Albert, 1904-1905"
dd10c9e6-82f9-4c35-a9ec-dcaa43efef92,A,UPLOADED,AIP,70542425,/api/v2/location/11a1c5ca-cb7e-448e-9ece-57f671e94057/,dd10/c9e6/82f9/4c35/a9ec/dcaa/43ef/ef92/a5efb5d1-0484-429c-95a5-15c12ff40ca0_B002.01.0097.0001_transfer-dd10c9e6-82f9-4c35-a9ec-dcaa43efef92.7z,
8ab506c4-615d-4009-80d8-55bd07eb992c,A,UPLOADED,AIP,1852727534,/api/v2/location/11a1c5ca-cb7e-448e-9ece-57f671e94057/,8ab5/06c4/615d/4009/80d8/55bd/07eb/992c/b3d37f84-82b7-4f0c-8bd6-b5f8cc190d7e_B416.01.00001_transfer-8ab506c4-615d-4009-80d8-55bd07eb992c.7z,
8974ac1f-c84f-4970-ac94-e747a796ae10,A,UPLOADED,AIP,213768699,/api/v2/location/11a1c5ca-cb7e-448e-9ece-57f671e94057/,8974/ac1f/c84f/4970/ac94/e747/a796/ae10/a5efb5d1-0484-429c-95a5-15c12ff40ca0_B002.01.0097.0001_transfer-8974ac1f-c84f-4970-ac94-e747a796ae10.7z,
3a13c9b9-941e-4468-b802-b22aae69ee02,A,UPLOADED,AIP,213768577,/api/v2/location/11a1c5ca-cb7e-448e-9ece-57f671e94057/,3a13/c9b9/941e/4468/b802/b22a/ae69/ee02/a5efb5d1-0484-429c-95a5-15c12ff40ca0_B002.01.0097.0001_transfer-3a13c9b9-941e-4468-b802-b22aae69ee02.7z,
